cell_id,graph_node_count,concurrency,repetition_count,successful_sample_count,failed_sample_count,retry_count,setup_repair_count,p50_latency_ns,p95_latency_ns,p99_latency_ns,successful_throughput_ops_per_second,throughput_95ci_lower,throughput_95ci_upper
g100_c1,100,1,30,960,0,0,0,59474208.5,144262723.8,172243813.29,16.825474628,16.125670016,17.477550286
g100_c2,100,2,30,960,0,0,0,68064383.5,330635081.55,353102280.67,21.899463992,20.632091887,23.307179885
g100_c4,100,4,30,960,0,0,0,89755288.0,655548937.15,725237910.44,21.151550366,20.058562043,22.487822033
g100_c8,100,8,30,960,0,0,0,229865625.5,1233670242.55,1428238120.72,20.461595313,19.651022022,21.294216522
g100_c16,100,16,30,960,0,0,0,442466277.0,1702441682.25,1895605343.14,19.758651282,19.051362709,20.521189211
g1000_c1,1000,1,30,960,0,0,0,62500587.5,1533361951.0,1617790302.69,2.534724462,2.506543883,2.563749322
g1000_c2,1000,2,30,960,0,0,0,71584940.5,3216800726.65,3987922558.47,2.843982275,2.668030244,3.029074603
g1000_c4,1000,4,30,960,0,0,0,90397199.0,6835185953.499997,7986409082.07,2.520705305,2.412019718,2.630661881
g1000_c8,1000,8,30,960,0,0,0,174202864.5,14894333443.65,15938192619.87,2.239141316,2.165761231,2.323210676
g1000_c16,1000,16,30,960,0,0,0,563288327.5,15221788038.6,16448678103.15,2.216910592,2.1541789,2.283054163
g10000_c1,10000,1,30,960,0,0,0,63877392.5,33867706024.5,35404603894.519997,0.12294304,0.122034788,0.123855867
g10000_c2,10000,2,30,960,0,0,0,72418696.5,90076884504.549988,96829864321.899963,0.099012241,0.095984356,0.102353241
g10000_c4,10000,4,30,960,0,0,0,322636849.0,248251087347.949982,263715226419.230011,0.067594803,0.066848141,0.068441141
g10000_c8,10000,8,30,960,0,0,0,664050458.0,531690805580.549988,545494198799.72998,0.063665468,0.061806491,0.06598831
g10000_c16,10000,16,30,960,0,0,0,2037841670.5,530274466360.249939,545677945942.51001,0.063491495,0.061534313,0.066058248
