cell_id,graph_node_count,concurrency,operation,successful_sample_count,failed_sample_count,p50_latency_ns,p95_latency_ns,p99_latency_ns
g100_c1,100,1,read,240,0,4345697.5,7260044.5,8304568.299999998
g100_c1,100,1,search,240,0,130018740.5,166562639.59999993,189990545.01999998
g100_c1,100,1,derive,240,0,21544712.0,27350557.649999995,31825104.039999984
g100_c1,100,1,invalidate_repair,240,0,72651012.0,93715245.6,104302807.28999995
g100_c2,100,2,read,240,0,5291878.0,7550886.55,8309620.109999999
g100_c2,100,2,search,240,0,223533630.0,348081835.6,370577153.87
g100_c2,100,2,derive,240,0,29255549.5,37670381.05,49005182.269999996
g100_c2,100,2,invalidate_repair,240,0,87079670.5,116902995.75,131749097.94999996
g100_c4,100,4,read,240,0,8139789.0,12288388.05,13510316.3
g100_c4,100,4,search,240,0,545988851.0,718407229.0,755532952.1599998
g100_c4,100,4,derive,240,0,49843426.5,74758489.24999999,242198623.66999972
g100_c4,100,4,invalidate_repair,240,0,148983963.5,195732490.4,213318386.32999998
g100_c8,100,8,read,240,0,16371067.0,24819349.84999999,30930499.17999999
g100_c8,100,8,search,240,0,1095529793.0,1413960723.35,1555869911.62
g100_c8,100,8,derive,240,0,100378701.5,150221380.15,295229132.4699996
g100_c8,100,8,invalidate_repair,240,0,308217965.0,385568508.15,402216301.5799999
g100_c16,100,16,read,240,0,39948765.0,72051109.14999995,84750220.72999999
g100_c16,100,16,search,240,0,1568181756.5,1886405258.3,1918774926.19
g100_c16,100,16,derive,240,0,207489005.5,294232050.2999999,406228136.5899999
g100_c16,100,16,invalidate_repair,240,0,802607640.0,1001114732.2499999,1027063651.39
g1000_c1,1000,1,read,240,0,4282266.0,7044610.649999997,8095083.929999998
g1000_c1,1000,1,search,240,0,1470183283.0,1611776904.35,1698399475.9799995
g1000_c1,1000,1,derive,240,0,21356093.5,35336013.44999998,60630610.38999984
g1000_c1,1000,1,invalidate_repair,240,0,72209165.0,86694412.4,96277965.51999995
g1000_c2,1000,2,read,240,0,5358341.0,8447218.549999999,9860928.6
g1000_c2,1000,2,search,240,0,2481546646.5,3972414443.7999997,4082853061.7299995
g1000_c2,1000,2,derive,240,0,26701372.0,45143272.849999905,106452771.87999979
g1000_c2,1000,2,invalidate_repair,240,0,82557693.0,114414096.1,118120957.47999996
g1000_c4,1000,4,read,240,0,8672285.5,13010591.199999996,16398421.439999983
g1000_c4,1000,4,search,240,0,6046239602.5,7932262745.45,8432698824.729998
g1000_c4,1000,4,derive,240,0,57380825.0,90833334.39999995,138138983.72999936
g1000_c4,1000,4,invalidate_repair,240,0,140054613.0,246990119.29999998,364846108.33
g1000_c8,1000,8,read,240,0,16096969.5,21307453.299999997,23882009.68
g1000_c8,1000,8,search,240,0,14043598751.0,15877103888.4,16263585736.42
g1000_c8,1000,8,derive,240,0,121610348.0,173803825.65,201158319.00999993
g1000_c8,1000,8,invalidate_repair,240,0,283439223.0,445627425.75,495026370.39999986
g1000_c16,1000,16,read,240,0,21564670.5,35911559.449999996,56645122.829999834
g1000_c16,1000,16,search,240,0,14413134396.0,16410469048.55,16594173544.06
g1000_c16,1000,16,derive,240,0,403209145.0,534842983.7,599819113.5699999
g1000_c16,1000,16,invalidate_repair,240,0,992162687.0,1258921706.8999999,1351600065.82
g10000_c1,10000,1,read,240,0,4596305.5,8522286.899999999,9520731.159999993
g10000_c1,10000,1,search,240,0,32342042307.0,35190308078.7,36001488727.69
g10000_c1,10000,1,derive,240,0,21311859.0,34551383.8,171154773.33999693
g10000_c1,10000,1,invalidate_repair,240,0,73928008.5,87354934.1,92735480.15999997
g10000_c2,10000,2,read,240,0,5828038.0,9638747.05,10877568.399999993
g10000_c2,10000,2,search,240,0,79827864507.0,96051102326.35,101041575161.98999
g10000_c2,10000,2,derive,240,0,40559089.5,74973574.94999997,191997328.5599986
g10000_c2,10000,2,invalidate_repair,240,0,84304849.5,124643238.64999972,216334690.43999976
g10000_c4,10000,4,read,240,0,9811789.0,15256134.799999999,17214728.29
g10000_c4,10000,4,search,240,0,233401061025.5,262386947612.39996,270818045712.88
g10000_c4,10000,4,derive,240,0,204925001.0,300324136.1999999,348342703.6099998
g10000_c4,10000,4,invalidate_repair,240,0,639422951.0,950115997.6999999,1180046792.619998
g10000_c8,10000,8,read,240,0,16759466.0,22899153.549999997,30288747.07999997
g10000_c8,10000,8,search,240,0,501812486156.0,545341541732.15,548731554915.43
g10000_c8,10000,8,derive,240,0,405267053.0,653317509.6999999,851473323.0799985
g10000_c8,10000,8,invalidate_repair,240,0,1364088653.0,1904850403.2,2420955369.679996
g10000_c16,10000,16,read,240,0,22317341.0,36740134.64999998,46511038.05999999
g10000_c16,10000,16,search,240,0,505359892611.0,542509801398.94995,579728560511.01
g10000_c16,10000,16,derive,240,0,394861874.5,720731395.4499999,839124589.1099999
g10000_c16,10000,16,invalidate_repair,240,0,3908517926.0,5380257631.25,5725808865.769999
