instance_id,workload,seed,adapter,variant,adapter_version,backend_mode,run_status,error_category,capability_absent_observed,correctness_included,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,leak_rate,supersession_consistency,scope_bypass_rate,latency,latency_ms,any_violation,violations,committed_count,operation_count,repair_count
atomic_multi_write_seed_0,atomic_multi_write,0,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.190467,1,atomicity_violation,1,3,0
atomic_multi_write_seed_1,atomic_multi_write,1,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.124972,1,atomicity_violation,1,3,0
atomic_multi_write_seed_2,atomic_multi_write,2,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.109641,1,atomicity_violation,1,3,0
atomic_multi_write_seed_3,atomic_multi_write,3,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.10285,1,atomicity_violation,1,3,0
atomic_multi_write_seed_4,atomic_multi_write,4,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.10147,1,atomicity_violation,1,3,0
atomic_multi_write_seed_5,atomic_multi_write,5,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.097468,1,atomicity_violation,1,3,0
atomic_multi_write_seed_6,atomic_multi_write,6,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.096561,1,atomicity_violation,1,3,0
atomic_multi_write_seed_7,atomic_multi_write,7,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.096355,1,atomicity_violation,1,3,0
atomic_multi_write_seed_8,atomic_multi_write,8,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.098141,1,atomicity_violation,1,3,0
atomic_multi_write_seed_9,atomic_multi_write,9,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,partial_commit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.095419,1,atomicity_violation,1,3,0
